"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-05","0.00",,"0.0","0.0",,"41","23",,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-06","0.01",,"0.0","0.0",,"38","30",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-07","0.00",,"0.0","0.0",,"32","22",,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-08","0.19",,"0.0","0.0",,"36","21",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-09","0.28",,"0.8","0.0",,"35","26",,"    1",,,"    1",,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-10","0.05",,"0.0","0.0",,"40","25",,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-11","0.00",,"0.0","0.0",,"35","25",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-12","0.00",,"0.0","0.0",,"30","22",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-13","0.62",,"2.8","3.0",,"30","25",,,,,"    1",,"    1",,,"    1",,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-14","0.78",,"0.0","2.0",,"35","30",,"    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-15","0.04",,"0.8","3.0",,"33","26",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-16","0.03",,"0.5","4.0",,"29","23",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-17","0.00",,"0.0","4.0",,"32","24",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-18","0.15",,"1.0","3.0",,"39","26",,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-19","0.02",,"0.2","4.0",,"26","3",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-20","0.00",,"0.0","3.0",,"15","-2",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-21","0.10",,"1.1","4.0",,"25","15",,,,,"    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-22","0.46",,"4.8","8.0",,"19","15",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-23","0.03",,"0.3","9.0",,"31","7",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-24","0.06",,"0.9","10.0",,"26","-1",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-25","0.00",,"0.0","9.0",,"21","-4",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-26","0.00",,"0.0","9.0",,"22","4",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-27","0.00",,"0.0","7.0",,"29","5",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-02-28","0.52",,"0.5","6.0",,"36","23",,"    1",,"    1",,,"    1",,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-01","0.06",,"0.8","6.0",,"26","8",,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-02","0.02",,"0.2","6.0",,"10","3",,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-03","0.00",,"0.0","5.0",,"22","3",,,,,,,,,"    1",,,,,,,,,,,,,
