treatment,replicate,step,creature_x,creature_y,score
play_greedily,1,38,4,3,1095
play_greedily,1,39,5,3,1085
play_greedily,1,40,6,3,1175
play_greedily,1,41,6,3,1170
play_greedily,1,42,6,2,1160
play_greedily,1,43,6,2,1155
play_greedily,1,44,6,2,1150
play_greedily,1,45,6,3,1140
play_greedily,1,46,6,3,1135
play_greedily,1,47,5,3,1125
play_greedily,1,48,4,3,1115
play_greedily,1,49,3,3,1105
play_greedily,1,50,2,3,1095
play_greedily,1,51,1,3,1085
play_greedily,1,52,1,3,1080
play_greedily,1,53,1,3,1075
play_greedily,1,54,2,3,1065
play_greedily,1,55,3,3,1055
play_greedily,1,56,4,3,1045
play_greedily,1,57,5,3,1035
play_greedily,1,58,6,3,1025
play_greedily,1,59,6,3,1020
play_greedily,1,60,6,2,1010
play_greedily,1,61,6,2,1005
play_greedily,1,62,6,2,1000
play_greedily,1,63,6,3,990
play_greedily,1,64,6,3,985
play_greedily,1,65,5,3,975
play_greedily,1,66,4,3,965
play_greedily,1,67,3,3,955
play_greedily,1,68,2,3,945
play_greedily,1,69,1,3,935
play_greedily,1,70,1,3,930
play_greedily,1,71,1,3,925
play_greedily,1,72,2,3,915
play_greedily,1,73,3,3,905
play_greedily,1,74,4,3,895
play_greedily,1,75,5,3,885
play_greedily,1,76,6,3,875
play_greedily,1,77,6,3,870
play_greedily,1,78,6,2,860
play_greedily,1,79,6,2,855
play_greedily,1,80,6,2,850
play_greedily,1,81,6,3,840
play_greedily,1,82,6,3,835
play_greedily,1,83,5,3,825
play_greedily,1,84,4,3,815
play_greedily,1,85,3,3,805
play_greedily,1,86,2,3,795
play_greedily,1,87,1,3,785
play_greedily,1,88,1,3,780
play_greedily,1,89,1,3,775
play_greedily,1,90,2,3,765
play_greedily,1,91,3,3,755
play_greedily,1,92,4,3,745
play_greedily,1,93,5,3,735
play_greedily,1,94,6,3,725
play_greedily,1,95,6,3,720
play_greedily,1,96,6,2,710
play_greedily,1,97,6,2,705
play_greedily,1,98,6,2,700
play_greedily,1,99,6,3,690
play_greedily,1,100,6,3,685
play_greedily,2,0,4,4,1000
play_greedily,2,1,4,4,1045
play_greedily,2,2,4,4,1040
play_greedily,2,3,4,5,1130
play_greedily,2,4,4,5,1125
play_greedily,2,5,5,5,1215
play_greedily,2,6,5,5,1210
play_greedily,2,7,5,6,1300
play_greedily,2,8,5,7,1290
play_greedily,2,9,5,8,1380
play_greedily,2,10,5,8,1375
play_greedily,2,11,4,8,1365
play_greedily,2,12,3,8,1355
play_greedily,2,13,2,8,1395
play_greedily,2,14,1,8,1485
play_greedily,2,15,0,8,1475
play_greedily,2,16,0,8,1470
play_greedily,2,17,0,7,1510
play_greedily,2,18,0,6,1500
play_greedily,2,19,0,5,1540
play_greedily,2,20,0,4,1530
play_greedily,2,21,0,3,1570
play_greedily,2,22,0,3,1565
play_greedily,2,23,1,3,1605
play_greedily,2,24,2,3,1695
play_greedily,2,25,2,3,1690
play_greedily,2,26,2,4,1780
play_greedily,2,27,2,5,1820
play_greedily,2,28,2,6,1810
play_greedily,2,29,2,7,1850
play_greedily,2,30,2,8,1840
play_greedily,2,31,2,8,1835
play_greedily,2,32,1,8,1825
play_greedily,2,33,0,8,1815
play_greedily,2,34,0,8,1810
play_greedily,2,35,0,7,1800
play_greedily,2,36,0,6,1790
play_greedily,2,37,0,6,1785
play_greedily,2,38,1,6,1825
play_greedily,2,39,2,6,1815
play_greedily,2,40,3,6,1805
play_greedily,2,41,3,6,1800
play_greedily,2,42,3,7,1790
play_greedily,2,43,3,8,1780
play_greedily,2,44,3,8,1775
play_greedily,2,45,2,8,1765
play_greedily,2,46,1,8,1755
play_greedily,2,47,0,8,1745
play_greedily,2,48,0,8,1740
play_greedily,2,49,0,7,1730
play_greedily,2,50,0,6,1720
play_greedily,2,51,0,5,1710
play_greedily,2,52,0,4,1700
play_greedily,2,53,0,3,1690
play_greedily,2,54,0,2,1680
play_greedily,2,55,0,1,1670
play_greedily,2,56,0,0,1660
play_greedily,2,57,0,0,1655
play_greedily,2,58,1,0,1745
play_greedily,2,59,2,0,1785
play_greedily,2,60,3,0,1775
play_greedily,2,61,4,0,1815
play_greedily,2,62,5,0,1805
play_greedily,2,63,5,0,1800
play_greedily,2,64,5,1,1790
play_greedily,2,65,5,2,1830
play_greedily,2,66,5,3,1820
play_greedily,2,67,5,4,1810
play_greedily,2,68,5,5,1800
play_greedily,2,69,5,6,1790
play_greedily,2,70,5,7,1780
play_greedily,2,71,5,8,1770
play_greedily,2,72,5,8,1765
play_greedily,2,73,4,8,1755
play_greedily,2,74,3,8,1745
play_greedily,2,75,2,8,1735
play_greedily,2,76,1,8,1725
play_greedily,2,77,0,8,1715
play_greedily,2,78,0,8,1710
play_greedily,2,79,0,7,1700
play_greedily,2,80,0,6,1690
play_greedily,2,81,0,5,1680
play_greedily,2,82,0,4,1670
play_greedily,2,83,0,3,1660
play_greedily,2,84,0,2,1650
play_greedily,2,85,0,1,1640
play_greedily,2,86,0,0,1630
play_greedily,2,87,0,0,1625
play_greedily,2,88,1,0,1615
play_greedily,2,89,2,0,1605
play_greedily,2,90,3,0,1595
play_greedily,2,91,4,0,1585
play_greedily,2,92,5,0,1575
play_greedily,2,93,5,0,1570
play_greedily,2,94,5,1,1560
play_greedily,2,95,5,2,1550
play_greedily,2,96,5,3,1540
play_greedily,2,97,5,4,1530
play_greedily,2,98,5,5,1520
play_greedily,2,99,5,6,1510
play_greedily,2,100,5,7,1500
play_greedily,3,0,4,4,1000
play_greedily,3,1,4,3,1060
play_greedily,3,2,4,3,1055
play_greedily,3,3,5,3,1095
play_greedily,3,4,5,3,1090
play_greedily,3,5,5,4,1130
play_greedily,3,6,5,4,1125
play_greedily,3,7,6,4,1165
play_greedily,3,8,6,4,1160
play_greedily,3,9,6,5,1250
play_greedily,3,10,6,6,1240
play_greedily,3,11,6,6,1235
play_greedily,3,12,7,6,1275
play_greedily,3,13,8,6,1365
play_greedily,3,14,8,6,1360
play_greedily,3,15,8,7,1450
play_greedily,3,16,8,7,1445
play_greedily,3,17,7,7,1435
play_greedily,3,18,7,7,1430
play_greedily,3,19,7,8,1470
play_greedily,3,20,7,8,1465
play_greedily,3,21,6,8,1455
play_greedily,3,22,5,8,1445
play_greedily,3,23,5,8,1440
play_greedily,3,24,5,7,1430
play_greedily,3,25,5,7,1425
play_greedily,3,26,4,7,1515
play_greedily,3,27,3,7,1505
play_greedily,3,28,3,7,1500
play_greedily,3,29,3,8,1540
play_greedily,3,30,3,8,1535
play_greedily,3,31,2,8,1525
play_greedily,3,32,2,8,1520
play_greedily,3,33,2,7,1510
play_greedily,3,34,2,7,1505
play_greedily,3,35,1,7,1545
play_greedily,3,36,0,7,1535
play_greedily,3,37,0,7,1530
play_greedily,3,38,0,8,1570
play_greedily,3,39,0,8,1565
play_greedily,3,40,0,8,1560
play_greedily,3,41,0,7,1550
play_greedily,3,42,0,7,1545
play_greedily,3,43,1,7,1535
play_greedily,3,44,2,7,1525
play_greedily,3,45,3,7,1515
play_greedily,3,46,4,7,1505
play_greedily,3,47,5,7,1495
play_greedily,3,48,6,7,1485
play_greedily,3,49,7,7,1475
play_greedily,3,50,8,7,1465
play_greedily,3,51,8,7,1460
play_greedily,3,52,8,6,1450
play_greedily,3,53,8,5,1440
play_greedily,3,54,8,5,1435
play_greedily,3,55,8,5,1430
play_greedily,3,56,8,6,1420
play_greedily,3,57,8,7,1410
play_greedily,3,58,8,7,1405
play_greedily,3,59,7,7,1395
play_greedily,3,60,6,7,1385
play_greedily,3,61,5,7,1375
play_greedily,3,62,4,7,1365
play_greedily,3,63,3,7,1355
