Treatment_Function,Replicate_Num,Step_Num,X_Location,Y_Location,Score,Last_Move,Rewards_rem
play_greedily,3,57,6,4,1535,F,8
play_greedily,3,58,6,4,1530,R,8
play_greedily,3,59,6,5,1570,F,7
play_greedily,3,60,6,5,1565,R,7
play_greedily,3,61,5,5,1555,F,7
play_greedily,3,62,4,5,1545,F,7
play_greedily,3,63,4,5,1540,R,7
play_greedily,3,64,4,4,1530,F,7
play_greedily,3,65,4,3,1520,F,7
play_greedily,3,66,4,2,1510,F,7
play_greedily,3,67,4,1,1500,F,7
play_greedily,3,68,4,0,1490,F,7
play_greedily,3,69,4,0,1485,R,7
play_greedily,3,70,4,0,1480,R,7
play_greedily,3,71,4,1,1470,F,7
play_greedily,3,72,4,2,1460,F,7
play_greedily,3,73,4,3,1450,F,7
play_greedily,3,74,4,4,1440,F,7
play_greedily,3,75,4,5,1430,F,7
play_greedily,3,76,4,6,1420,F,7
play_greedily,3,77,4,6,1415,R,7
play_greedily,3,78,4,6,1410,R,7
play_greedily,3,79,4,5,1400,F,7
play_greedily,3,80,4,4,1390,F,7
play_greedily,3,81,4,3,1380,F,7
play_greedily,3,82,4,2,1370,F,7
play_greedily,3,83,4,1,1360,F,7
play_greedily,3,84,4,0,1350,F,7
play_greedily,3,85,4,0,1345,R,7
play_greedily,3,86,4,0,1340,R,7
play_greedily,3,87,4,1,1330,F,7
play_greedily,3,88,4,2,1320,F,7
play_greedily,3,89,4,3,1310,F,7
play_greedily,3,90,4,4,1300,F,7
play_greedily,3,91,4,5,1290,F,7
play_greedily,3,92,4,6,1280,F,7
play_greedily,3,93,4,6,1275,R,7
play_greedily,3,94,4,6,1270,R,7
play_greedily,3,95,4,5,1260,F,7
play_greedily,3,96,4,4,1250,F,7
play_greedily,3,97,4,3,1240,F,7
play_greedily,3,98,4,2,1230,F,7
play_greedily,3,99,4,1,1220,F,7
play_greedily,3,100,4,0,1210,F,7
play_greedily,4,1,4,3,1140,F,22
play_greedily,4,2,4,2,1130,F,22
play_greedily,4,3,4,2,1125,L,22
play_greedily,4,4,3,2,1165,F,21
play_greedily,4,5,2,2,1155,F,21
play_greedily,4,6,2,2,1150,R,21
play_greedily,4,7,2,1,1140,F,21
play_greedily,4,8,2,1,1135,L,21
play_greedily,4,9,1,1,1225,F,20
play_greedily,4,10,0,1,1215,F,20
play_greedily,4,11,0,1,1210,R,20
play_greedily,4,12,0,0,1250,F,19
play_greedily,4,13,0,0,1245,R,19
play_greedily,4,14,1,0,1235,F,19
play_greedily,4,15,2,0,1225,F,19
play_greedily,4,16,3,0,1265,F,18
play_greedily,4,17,3,0,1260,R,18
play_greedily,4,18,3,0,1255,R,18
play_greedily,4,19,2,0,1245,F,18
play_greedily,4,20,1,0,1235,F,18
play_greedily,4,21,0,0,1225,F,18
play_greedily,4,22,0,0,1220,R,18
play_greedily,4,23,0,0,1215,R,18
play_greedily,4,24,1,0,1205,F,18
play_greedily,4,25,2,0,1195,F,18
play_greedily,4,26,3,0,1185,F,18
play_greedily,4,27,3,0,1180,R,18
play_greedily,4,28,3,0,1175,R,18
play_greedily,4,29,2,0,1165,F,18
play_greedily,4,30,1,0,1155,F,18
play_greedily,4,31,0,0,1145,F,18
play_greedily,4,32,0,0,1140,R,18
play_greedily,4,33,0,0,1135,R,18
play_greedily,4,34,1,0,1125,F,18
play_greedily,4,35,2,0,1115,F,18
play_greedily,4,36,3,0,1105,F,18
play_greedily,4,37,3,0,1100,R,18
play_greedily,4,38,3,0,1095,R,18
play_greedily,4,39,2,0,1085,F,18
play_greedily,4,40,1,0,1075,F,18
play_greedily,4,41,0,0,1065,F,18
play_greedily,4,42,0,0,1060,R,18
play_greedily,4,43,0,0,1055,R,18
play_greedily,4,44,1,0,1045,F,18
play_greedily,4,45,2,0,1035,F,18
play_greedily,4,46,3,0,1025,F,18
